Price,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,,,,,,
2019-01-02,37.708587646484375,37.930657594048284,36.827478337398325,36.98507589456792,148158800.0,AAPL,,,,,
2019-01-03,33.952545166015625,34.79544861163196,33.90717582666171,34.37996500461738,365248800.0,AAPL,,,,,
2019-01-04,35.40196228027344,35.47121138285457,34.33699226062503,34.51130281079781,234428400.0,AAPL,,,,,
2019-01-07,35.323150634765625,35.538057418639184,34.83842166687706,35.50701447747643,219111200.0,AAPL,,,,,
2019-01-08,35.99652099609375,36.2520204396242,35.46403616672354,35.71236877143383,164101200.0,AAPL,,,,,
2019-01-09,36.60780715942383,36.899122599597206,35.72908780407582,36.12546466353278,180396400.0,AAPL,,,,,
2019-01-10,36.72481155395508,36.76540421062059,36.0227892295961,36.4143930484411,143122800.0,AAPL,,,,,
2019-01-11,36.364253997802734,36.700938833098775,36.17800358754081,36.505138707955666,108092800.0,AAPL,,,,,
2019-01-14,35.81744384765625,36.12069922575727,35.63119343113154,36.02041082020849,129756800.0,AAPL,,,,,
2019-01-15,36.550498962402344,36.62690759306695,35.82937360965292,35.88190613728261,114843600.0,AAPL,,,,,
2019-01-16,36.997032165527344,37.221488729438484,36.533792643164155,36.55289571706498,122278800.0,AAPL,,,,,
2019-01-17,37.21671676635742,37.64652687474645,36.59587953829113,36.82033613064647,119284800.0,AAPL,,,,,
2019-01-18,37.44593811035156,37.699047414792304,37.24535769463832,37.608308742053886,135004000.0,AAPL,,,,,
2019-01-22,36.60541915893555,37.42444275391004,36.443044892915836,37.348034120841504,121576000.0,AAPL,,,,,
2019-01-23,36.753475189208984,37.04479071109913,36.223376691575375,36.80839425343904,92522400.0,AAPL,,,,,
2019-01-24,36.46215057373047,36.88718387306824,36.23292101456802,36.798835360009605,101766000.0,AAPL,,,,,
2019-01-25,37.67039489746094,37.758747061916615,36.84898465327017,37.12597009160104,134142000.0,AAPL,,,,,
2019-01-28,37.32176971435547,37.32893291020172,36.69138297511868,37.19998809789302,104768400.0,AAPL,,,,,
2019-01-29,36.9349365234375,37.758740427662374,36.798832167655455,37.30982741823408,166348800.0,AAPL,,,,,
2019-01-30,39.4588737487793,39.67377689877052,38.26018258505543,38.981307954542935,244439200.0,AAPL,,,,,
2019-01-31,39.74302673339844,40.354310378653395,39.29411371236649,39.66422793862977,162958400.0,AAPL,,,,,
2019-02-01,39.76213073730469,40.34953464878564,39.62124605293177,39.86719579946564,130672400.0,AAPL,,,,,
2019-02-04,40.89157485961914,40.989476730812505,39.94360638014959,39.974649325537285,125982000.0,AAPL,,,,,
2019-02-05,41.59121322631836,41.80612007128702,41.15424362631342,41.27602162131855,144406400.0,AAPL,,,,,
2019-02-06,41.60553741455078,41.9231191363072,41.273629300518444,41.70343564294899,112958400.0,AAPL,,,,,
2019-02-07,40.81755828857422,41.533907142656496,40.67428706034229,41.16617935717926,126966800.0,AAPL,,,,,
2019-02-08,40.86550521850586,40.925456958926475,40.38828804745879,40.52497977201644,95280000.0,AAPL,,,,,
2019-02-11,40.6304931640625,41.0573529370236,40.58732966586825,41.01898294363052,83973600.0,AAPL,,,,,
2019-02-12,40.98061752319336,41.006996439199185,40.695246611629706,40.79117160581652,89134000.0,AAPL,,,,,
2019-02-13,40.81035614013672,41.3619130076027,40.748007633407916,41.100524238915256,89960800.0,AAPL,,,,,
2019-02-14,40.95903778076172,41.069346955531834,40.61851226781533,40.69764901971453,87342800.0,AAPL,,,,,
2019-02-15,40.86790084838867,41.17485345817867,40.70723062757389,41.06694106021814,98507200.0,AAPL,,,,,
2019-02-19,40.99020767211914,41.11251158075752,40.644888674928126,40.69764650626932,75891200.0,AAPL,,,,,
2019-02-20,41.25399398803711,41.56334703770491,41.004596341823294,41.0525570054224,104457600.0,AAPL,,,,,
2019-02-21,41.021385192871094,41.335531780148976,40.839133188578245,41.198843691720455,68998800.0,AAPL,,,,,
2019-02-22,41.47942352294922,41.48661744133302,41.09813121194813,41.14609188756176,75652800.0,AAPL,,,,,
2019-02-25,41.781578063964844,42.17486144916681,41.71443238789365,41.7647934745295,87493600.0,AAPL,,,,,
2019-02-26,41.80556106567383,42.03817418355346,41.52738402544345,41.656881874141895,68280800.0,AAPL,,,,,
2019-02-27,41.9350471496582,41.96622322927537,41.421860337678204,41.53697032741964,111341600.0,AAPL,,,,,
